tenure,monthly_charges,total_charges,contract,internet_service,senior_citizen,paperless_billing,payment_method,churn
39,48.76,1753.72,1,0,1,1,0,0
41,20.51,835.12,2,1,0,1,3,0
8,18.4,136.88,1,1,0,1,0,1
49,40.95,2146.19,0,0,0,0,0,0
26,59.05,1671.26,0,2,0,0,1,0
65,103.98,6274.17,2,0,0,1,0,0
4,98.65,407.81,0,0,0,0,2,1
28,44.98,1293.83,0,1,0,0,3,1
36,42.7,1617.16,1,0,0,0,0,0
37,40.96,1574.86,1,1,1,0,0,1
7,52.26,345.12,2,1,0,1,1,1
64,68.32,4189.9,0,0,0,1,1,0
16,62.31,930.21,0,2,0,1,2,1
70,40.05,3039.64,2,1,0,1,0,0
44,31.18,1377.91,0,1,0,1,0,1
3,19.27,63.32,0,1,0,1,0,1
35,33.55,1162.35,0,0,1,0,0,1
69,89.24,6222.49,2,1,0,0,3,1
30,42.61,1352.26,2,2,0,0,0,0
18,65.33,1245.84,2,0,0,1,0,0
60,77.72,4412.46,0,1,1,1,3,1
53,107.57,5459.8,0,1,0,1,1,1
38,107.77,3765.84,0,1,0,0,2,1
18,93.32,1782.38,2,2,0,1,0,0
38,21.55,867.03,0,0,0,1,3,0
66,76.08,4600.76,0,0,0,0,0,0
44,97.44,4079.37,1,0,0,0,1,0
12,19.75,234.62,0,1,0,1,3,1
57,73.52,4225.66,0,0,0,1,3,0
19,104.63,1996.93,2,2,0,0,3,0
71,65.88,5129.39,0,1,0,0,0,1
60,18.41,1162.95,0,0,0,0,1,0
38,19.11,670.0,0,1,0,1,2,1
0,60.08,0.0,0,1,1,1,3,1
2,33.66,65.24,0,0,1,1,0,1
61,85.11,4999.77,1,0,1,1,2,0
62,89.59,5872.24,0,0,0,1,3,1
24,35.97,839.21,2,0,0,1,0,0
55,107.74,5916.72,0,2,1,0,2,1
32,62.63,2017.57,0,1,0,1,2,1
37,32.43,1144.82,0,2,0,1,3,1
5,95.19,459.07,2,2,0,1,0,1
57,97.79,5886.17,0,0,0,1,2,0
43,82.57,3810.89,2,2,0,0,1,0
44,104.2,4160.32,2,0,0,1,1,0
31,92.47,2926.86,2,0,0,1,2,0
44,107.1,4838.16,1,1,0,0,3,0
60,61.82,3885.25,0,1,0,1,3,1
46,93.51,4468.22,2,0,0,0,3,0
20,118.97,2559.01,2,1,1,0,2,0
35,91.22,2923.54,2,2,1,1,3,0
18,29.53,519.67,0,0,0,1,3,1
19,70.35,1412.06,1,0,1,0,1,0
56,77.32,4630.05,0,1,0,1,0,1
17,35.6,576.73,0,1,0,0,1,1
46,115.25,5391.93,1,0,0,0,2,1
48,35.73,1605.54,2,2,1,0,1,0
13,35.93,499.87,1,1,0,0,0,0
14,110.43,1617.27,2,1,0,0,1,0
30,64.99,1841.32,0,2,0,1,3,0
0,24.38,0.0,0,2,0,1,0,1
53,78.42,4164.01,1,0,0,1,2,0
2,78.78,149.96,0,0,0,1,1,1
15,24.51,396.56,2,1,0,1,1,0
56,116.22,6049.93,0,2,0,1,3,1
11,72.95,797.23,0,1,0,1,0,1
15,74.54,1136.62,0,1,0,1,3,1
71,70.53,5331.67,0,1,0,1,1,1
23,79.68,1704.42,2,0,0,0,1,0
27,44.69,1232.98,0,2,1,0,0,0
7,47.01,296.59,0,1,1,0,1,1
35,69.65,2595.02,2,2,0,1,0,0
7,99.48,659.42,0,1,0,1,2,1
57,23.04,1371.3,2,2,0,1,1,0
59,78.94,4752.36,0,0,0,0,0,0
49,99.48,4435.94,0,1,1,1,0,1
27,33.85,856.05,2,2,0,1,3,0
40,19.52,744.53,2,1,0,1,1,0
63,49.58,3365.13,0,1,0,1,3,1
26,77.4,2004.67,1,0,0,0,0,0
62,31.97,2146.06,2,1,0,0,2,0
16,61.04,888.24,0,2,1,0,2,1
32,73.78,2127.96,0,0,0,0,1,0
28,78.49,2394.74,0,2,0,0,2,1
12,45.72,573.21,0,1,0,0,1,1
45,58.4,2776.91,0,0,0,1,1,0
34,96.61,3557.9,2,0,0,0,0,0
5,113.06,620.08,0,1,0,1,0,1
68,105.05,6568.66,2,0,0,0,0,0
46,74.99,3213.79,0,2,0,0,3,1
24,59.44,1337.71,1,1,0,0,0,0
65,51.63,3569.67,1,1,0,1,1,0
9,30.62,267.62,0,0,0,1,0,1
55,28.76,1611.31,0,1,0,0,3,1
29,87.52,2718.4,0,1,0,0,0,1
4,44.24,183.44,1,0,0,1,2,0
32,43.72,1277.44,0,1,0,1,1,1
64,118.82,7521.86,0,2,0,0,2,1
17,36.98,574.28,2,0,1,1,2,0
48,32.95,1574.91,2,1,1,0,3,0
10,27.97,264.0,0,2,0,0,2,1
25,76.56,1723.1,0,0,0,1,0,0
62,81.41,5363.54,1,2,0,1,1,0
58,54.89,3482.49,2,1,0,1,2,0
26,72.08,2048.04,0,0,0,0,2,0
48,97.63,4498.03,0,0,0,0,1,1
32,100.63,3431.9,2,0,0,1,0,0
0,114.75,0.0,2,0,0,0,2,0
20,101.25,2146.53,2,0,0,1,1,0
54,75.05,4333.34,0,0,0,1,0,1
5,36.15,198.11,0,0,0,1,0,1
68,28.08,1776.44,1,1,1,0,0,0
4,23.51,99.11,0,2,0,0,3,1
2,85.32,178.63,0,2,0,1,0,1
52,99.56,4957.34,0,1,0,1,0,1
22,69.38,1493.57,0,2,0,0,1,0
52,23.53,1144.46,0,0,1,1,3,1
36,72.08,2809.36,2,0,0,1,0,0
16,112.51,1936.73,1,0,1,1,2,0
0,78.36,0.0,2,2,0,1,3,0
50,99.75,4999.1,2,2,1,1,1,0
44,98.82,4115.8,0,1,0,1,3,1
3,112.15,355.94,0,1,0,0,2,1
61,95.79,5268.46,0,1,0,1,3,1
64,93.52,5940.73,0,0,0,1,2,0
31,41.64,1383.92,2,1,0,1,0,0
33,24.05,812.46,0,1,0,0,0,1
71,70.28,5124.73,0,0,1,1,3,0
